codigo_secc,mun,prov,pob,renta_med,pobreza_pc,pobreza_menores_pc,pobreza_mayores_pc,precio_alquiler,jubilados_pc,parados_pc,monoparental_pc,extranjeros_pc,estudios_sup_pc,menores_pc,mayores_pc
0301402005,Alicante/Alacant,Alicante,1118,21000,18.1,NA,NA,6.25,23.77,15.42,10.919540229885058,17.8,51.06,11.18,28.799999999999997
0301402005,Alicante/Alacant,Alicante,1118,21000,18.1,NA,NA,6.25,23.77,15.42,11.560693641618498,17.8,51.06,11.18,28.799999999999997
0301402006,Alicante/Alacant,Alicante,1710,22050,16.8,NA,NA,6.70633917283728,22.23,15.509999999999998,11.610486891385769,19.65,49.87,10.29,28.83
0301402006,Alicante/Alacant,Alicante,1710,22050,16.8,NA,NA,6.70633917283728,22.23,15.509999999999998,10.861423220973784,19.65,49.87,10.29,28.83
0301402008,Alicante/Alacant,Alicante,899,15050,31.8,NA,NA,5.47368421052632,18.41,20.93,NA,28.92,39.27,8.790000000000001,26.36
0301402009,Alicante/Alacant,Alicante,1253,16450,25.4,NA,NA,5.44554455445545,14.61,23.48,12.5,27.13,43.84,12.61,18.6
0301402009,Alicante/Alacant,Alicante,1253,16450,25.4,NA,NA,5.44554455445545,14.61,23.48,12.5,27.13,43.84,12.61,18.6
0301402010,Alicante/Alacant,Alicante,1112,13650,37.7,NA,NA,5.0689448441247,19.5,23.33,13.79310344827586,32.73,34.33,9.62,24.91
0301402010,Alicante/Alacant,Alicante,1112,13650,37.7,NA,NA,5.0689448441247,19.5,23.33,13.872832369942197,32.73,34.33,9.62,24.91
0301402011,Alicante/Alacant,Alicante,1382,10850,42.4,NA,NA,5.06329113924051,17.75,28.68,13.227513227513228,40.52,26.74,10.71,25.47
0301402011,Alicante/Alacant,Alicante,1382,10850,42.4,NA,NA,5.06329113924051,17.75,28.68,13.227513227513228,40.52,26.74,10.71,25.47
0301402012,Alicante/Alacant,Alicante,1328,10850,45,NA,NA,5.48389122349418,13.84,28.42,14.130434782608695,39.98,26.07,15.659999999999998,18.45
0301402012,Alicante/Alacant,Alicante,1328,10850,45,NA,NA,5.48389122349418,13.84,28.42,13.58695652173913,39.98,26.07,15.659999999999998,18.45
0301402013,Alicante/Alacant,Alicante,1243,10850,45.3,NA,NA,5.33479794880785,15.160000000000002,30,NA,39.66,24.58,14.56,18.66
0301402014,Alicante/Alacant,Alicante,1286,14700,29.8,NA,NA,4.06682841261163,19.56,22.65,13.953488372093023,23.56,25.069999999999997,12.52,25.040000000000003
0301402014,Alicante/Alacant,Alicante,1286,14700,29.8,NA,NA,4.06682841261163,19.56,22.65,13.45029239766082,23.56,25.069999999999997,12.52,25.040000000000003
0301402016,Alicante/Alacant,Alicante,1235,14350,30.8,NA,NA,5.40553541043327,21.47,24.709999999999997,13.095238095238097,25.590000000000003,27.250000000000004,11.74,26.640000000000004
0301402016,Alicante/Alacant,Alicante,1235,14350,30.8,NA,NA,5.40553541043327,21.47,24.709999999999997,13.69047619047619,25.590000000000003,27.250000000000004,11.74,26.640000000000004
0301402017,Alicante/Alacant,Alicante,965,15050,32.3,NA,NA,5,19.02,23.36,NA,31.71,37.13,9.02,24.97
0301402018,Alicante/Alacant,Alicante,1061,15750,29.3,NA,NA,5.47410102739726,18.8,20.5,NA,32.800000000000004,39.98,8.77,23.56
0301402019,Alicante/Alacant,Alicante,930,18550,18.5,NA,NA,5.04818830506904,24.58,16.93,NA,21.61,44.58,10.75,33.01
0301402020,Alicante/Alacant,Alicante,1355,12950,41,NA,NA,5.85106382978723,15.71,25.52,11.374407582938389,36.46,37.26,11.66,19.63
0301402020,Alicante/Alacant,Alicante,1355,12950,41,NA,NA,5.85106382978723,15.71,25.52,10.90047393364929,36.46,37.26,11.66,19.63
0301402021,Alicante/Alacant,Alicante,1303,12950,35,NA,NA,4.6218487394958,17.990000000000002,26.6,13.068181818181818,26.71,22.01,12.13,23.79
0301402021,Alicante/Alacant,Alicante,1303,12950,35,NA,NA,4.6218487394958,17.990000000000002,26.6,12.994350282485875,26.71,22.01,12.13,23.79
0301402022,Alicante/Alacant,Alicante,809,11550,43.5,NA,NA,7.5,16.55,32.379999999999995,NA,26.58,23.9,12.61,19.65
0301402023,Alicante/Alacant,Alicante,1092,10850,40.6,NA,NA,4.20797390031136,16.009999999999998,28.94,NA,40.48,26.94,13.64,19.139999999999997
