codigo_dist,mun,prov,pob,renta_med,pobreza_pc,pobreza_menores_pc,pobreza_mayores_pc,precio_alquiler,jubilados_pc,parados_pc,monoparental_pc,extranjeros_pc,estudios_sup_pc,menores_pc,mayores_pc
0306501,Elche/Elx,Alicante,30491,16450,19.7,21.5,16.9,4.90001288770513,12.739726002954702,17.583486007334407,11.405030355594102,9.743588927880358,33.58760977856296,19.26767275589518,14.319773047784592
0306502,Elche/Elx,Alicante,35042,15750,24.2,27.8,22.4,4.95652173913043,13.051961512279892,21.659624091389343,11.83913239945775,8.167637691912562,32.744457935273424,20.151471662576338,14.182987272415955
0306503,Elche/Elx,Alicante,35256,10850,44.4,61,30,3.84226884226884,15.199869820955008,34.77354872422108,12.93888166449935,24.631535057862493,10.53300959780124,15.577501134558656,18.042232527796685
0306504,Elche/Elx,Alicante,29764,12950,30.6,39,24.7,4.0341561423651,16.349788544649314,26.47108350930071,11.322217913920124,11.94795961564306,14.613134470254936,15.693690700174708,18.34052613895982
0306505,Elche/Elx,Alicante,32431,13650,30.3,41.5,23.3,4.05596115167072,18.637126755132257,24.801296260809305,13.010590015128592,16.931743702013506,25.06335495163548,12.43118343560174,22.768584995837315
0306506,Elche/Elx,Alicante,29888,13650,29.1,35.2,25.4,4.49719101123596,13.737555735231949,23.46851000928407,13.416075650118204,13.011355728051392,20.83070304530625,16.653926659528906,15.81634301391863
0306507,Elche/Elx,Alicante,42694,15050,24.2,29.1,21.8,5.07367250486517,15.19111968499385,19.254528386835684,9.502708025603152,13.272720522790088,24.322991928583555,15.209356115613437,18.42446620133977
0306601,Elda,Alicante,6578,10150,47.2,NA,NA,3.77358490566038,19.306918263931475,40.81205938797366,10.858585858585858,8.893647005168745,10.80788630127979,15.034464882943144,21.93705381574947
0306602,Elda,Alicante,5604,13650,27.5,NA,NA,3.83403361344538,17.872962650657037,23.81916459079684,12.478920741989882,5.850346181299072,21.244529004870955,14.831184867951462,19.340747680228407
0306603,Elda,Alicante,1417,14350,25.8,NA,NA,NA,17.18,24.44,10.795454545454543,6.8500000000000005,19.709999999999997,13.34,17.78
0306604,Elda,Alicante,25869,13650,28.7,NA,NA,3.51732013703845,18.620951683399493,24.225613882388338,12.553292278540976,9.147347017665933,21.901681376980203,15.529245428891723,19.830557423943716
0306605,Elda,Alicante,13112,12950,32.3,NA,NA,3.72093023255814,22.63743405745519,26.65884955339343,12.75626423690205,11.234101586333129,20.59855313848721,12.172246796827334,26.112045454545456
0306701,Facheca,Alicante,104,17150,NA,NA,NA,NA,34.31,20,NA,7.69,21.57,1.92,37.5
0306801,Famorca,Alicante,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0306901,Finestrat,Alicante,7428,14350,30.1,36.4,22.9,6.56816220880069,12.065881672343648,21.380995031598165,9.040074557315936,44.79003500269251,23.868406457689336,16.568559504577276,15.518800484652669
0307001,Formentera del Segura,Alicante,4380,11550,39.7,55.3,23.6,5.07692307692308,15.588919822017129,23.83280346091999,7.941653160453809,40.27269178082192,14.814962007445017,14.474351598173516,22.055947488584472
0307101,Gata de Gorgos,Alicante,3076,12950,32.9,47.7,23.1,2.86067193675889,14.762834341646585,17.515594545174825,NA,20.67252275682705,21.243407254448893,15.215562418725618,19.341163849154743
0307102,Gata de Gorgos,Alicante,3165,13650,29.8,39.4,24.1,3.25157894736842,17.31486089402253,15.30211821054404,11.417322834645669,29.037156398104266,21.735809721524983,13.523601895734595,20.946113744075824
0307201,Gaianes,Alicante,519,15750,21.1,NA,NA,NA,23.13,19.58,NA,12.33,26.53,15.03,22.16
0307301,Gorga,Alicante,262,18550,NA,NA,NA,NA,26.340000000000003,13.239999999999998,NA,7.249999999999999,26.340000000000003,7.249999999999999,27.860000000000003
0307401,Granja de Rocamora,Alicante,2601,13650,28.6,38.7,13.4,4.66666666666667,16.35,18.04,10.855263157894736,19.61,16.59,18.42,15.840000000000002
0307501,"Castell de Guadalest, el",Alicante,245,16450,NA,NA,NA,3.83597883597884,17.18,11.57,NA,28.57,32.16,7.35,21.63
0307601,Guardamar del Segura,Alicante,15850,14350,28.7,37.1,20.2,5.58441558441558,19.406191227610083,21.28634247025767,9.660344067048964,34.131378548895896,21.853414247976133,14.20352429022082,23.544683280757106
0307701,"Fondó de les Neus, el/Hondón de las Nieves",Alicante,2636,13650,29.1,34,21.7,3.60738422072183,27.55,19.89,7.5,37.41,15.659999999999998,9.41,34.9
0307801,Hondón de los Frailes,Alicante,1284,13650,34.5,NA,NA,NA,30.2,22.6,7.070707070707071,53.74,23.119999999999997,9.74,38.940000000000005
0307901,Ibi,Alicante,5604,16450,15.6,18.3,14.5,3.38273757628596,18.775922192218236,16.48353155647239,9.95850622406639,8.100148108493933,25.783344856577955,16.471632762312634,21.02268379728765
0307902,Ibi,Alicante,8157,15750,16.4,19.8,16.6,3.56456043956044,18.184100512760725,19.168710536258207,9.501557632398754,9.991319112418784,19.781822620261163,14.783786931469905,20.521132769400516
0307903,Ibi,Alicante,9931,16450,16.5,21.2,14.9,3.28976578976579,15.929497550066522,18.33955618450068,10.208562019758508,9.917489678783609,22.78687711716713,14.227794784009667,17.762909072600948
0308001,Jacarilla,Alicante,1948,14350,26.5,NA,NA,4.13772305421823,20.23,19.21,9.266409266409266,18.99,20.35,13.71,22.9
0308101,Xaló,Alicante,880,12950,34.1,NA,NA,4.02298850574713,21.14,17.77,NA,30.11,22.07,14.549999999999995,26.02
0308102,Xaló,Alicante,2055,14350,29.7,NA,NA,3.88489678599425,24.33,14.99,8.59106529209622,44.57,18.58,12.8,31.78
0308201,Jávea/Xàbia,Alicante,7260,12950,33,41.2,25.1,4.25531914893617,11.287689794297906,19.643668577369738,12.666666666666666,30.78504958677686,18.53107659992567,16.528359504132233,15.109607438016528
0308202,Jávea/Xàbia,Alicante,5161,13650,31.9,42.1,20.7,5.01146060275962,16.1310382487345,19.464363009224893,9.469696969696969,38.34398372408448,16.446871204882104,14.708401472582832,21.836115093974033
0308203,Jávea/Xàbia,Alicante,16361,13650,33.2,40.1,21,6.81818181818182,20.01400164676339,17.155788277972178,8.20555325321177,60.06770796406088,18.153850784763858,12.915173277916995,27.60711325713587
0308301,Jijona/Xixona,Alicante,6882,16450,18.5,27.1,12.7,3.2258064516129,22.579774495243367,16.082208129662185,13.227513227513228,9.489488520778844,19.53969805432703,13.962476024411508,22.376294681778553
0308401,"Lorcha/Orxa, l'",Alicante,581,17150,14.9,NA,NA,NA,29.72,13.85,NA,7.23,19.63,7.920000000000001,34.599999999999994
0308501,Llíber,Alicante,960,13650,29.9,NA,NA,NA,26.729999999999997,11.61,NA,63.54,15.590000000000002,8.44,36.35
0308601,Millena,Alicante,243,15050,NA,NA,NA,NA,23.449999999999996,16.96,NA,24.69,26.11,7.000000000000001,29.63000000000001
0308801,Monforte del Cid,Alicante,8543,14350,23.1,27.7,19,3.4184429270778,12.5137444274736,15.777281049985652,9.261186264308012,13.799353856958914,23.76131684071938,17.488278122439425,13.64668032307152
0308901,Monóvar/Monòver,Alicante,9761,12950,31.8,NA,NA,2.88720139218478,19.47261961292731,27.907741285564946,10.427807486631016,7.036756479868866,15.402743570384713,14.98800225386743,21.63622886999283
0308902,Monóvar/Monòver,Alicante,2424,14350,27.1,NA,NA,NA,17.83,21.52,8.849557522123893,16.96,17.83,13.94,22.32
0309001,Mutxamel,Alicante,12440,15050,21.6,28,17.5,4.42477876106195,14.510916947298597,16.888998092015125,12.773722627737229,10.90069694533762,24.12988574521294,16.253975080385853,16.421426045016077
0309002,Mutxamel,Alicante,13358,19250,17.6,19.1,16,7.5177501393534,12.223747814477637,14.078815890211176,10.320781032078104,19.283656984578528,39.04207187492816,18.124216948645007,13.76667689773918
0309101,Murla,Alicante,533,14350,29,NA,NA,NA,28.72000000000001,14.84,NA,48.41,21.49,9.19,39.21
0309201,Muro de Alcoy,Alicante,9329,15050,22.3,32.3,15.9,3.07446091644205,16.45845882461989,15.344752612297611,10.61130334486736,10.709631257369493,24.49157096775109,17.27863329402937,17.78439060992604
0309301,Novelda,Alicante,15511,14350,24.2,NA,NA,3.15552394499763,15.09226830013932,20.92572390021917,12.333333333333334,10.094779833666433,22.271866384831252,15.415086712655537,17.66546708787312
0309302,Novelda,Alicante,7791,13650,26,NA,NA,3.32142857142857,16.725525836360163,21.735387999557062,11.77570093457944,9.586968296752664,18.03117779535819,14.58099473751765,20.279593120266973
0309303,Novelda,Alicante,2276,16450,17.4,NA,NA,NA,15.52,18.66,10.367892976588628,7.470000000000001,24.03,12.79,18.06
0309401,"Nucia, la",Alicante,18180,15050,26.5,31,21.8,5,13.01426299302124,20.31057192872264,10.822701275846898,34.092914741474154,23.947097132107213,17.21252200220022,16.61193619361936
0309501,Ondara,Alicante,7082,14350,27.1,33.2,21.8,4,15.219868043399144,19.56159261357754,11.16504854368932,21.20810646709969,22.290074268700813,15.742062976560296,18.004430951708557
0309601,Onil,Alicante,7612,16450,17.3,20.8,14.2,3.19148936170213,19.2675190204596,16.935078854582823,8.275862068965518,10.3511035207567,19.747268678240506,14.976153441933793,19.876682869153967
0309701,Orba,Alicante,2288,13650,29.1,NA,NA,3.85188564476886,28.51,17.150000000000002,8.333333333333334,47.510000000000005,32.28,11.84,35.31
0309801,Orxeta,Alicante,821,16450,21.8,NA,NA,3.40909090909091,19.41,19.739999999999995,NA,22.78,28.77,12.79,23.510000000000005
